Date;Product;Delivery Period;Price (EUR/MWh);Volume (MW)
2026-03-10;QH 5;01:00 - 01:15;149.1;0.0
2026-03-10;QH 6;01:15 - 01:30;139.12;0.0
2026-03-10;QH 7;01:30 - 01:45;136.02;0.0
2026-03-10;QH 8;01:45 - 02:00;130.08;0.0
2026-03-10;QH 9;02:00 - 02:15;135.62;0.0
2026-03-10;QH 10;02:15 - 02:30;129.99;0.0
2026-03-10;QH 11;02:30 - 02:45;128.35;0.0
2026-03-10;QH 12;02:45 - 03:00;127.8;0.0
2026-03-10;QH 13;03:00 - 03:15;128.87;0.0
2026-03-10;QH 14;03:15 - 03:30;127.96;0.0
2026-03-10;QH 15;03:30 - 03:45;127.79;0.0
2026-03-10;QH 16;03:45 - 04:00;125.83;0.0
2026-03-10;QH 17;04:00 - 04:15;125.55;0.0
2026-03-10;QH 18;04:15 - 04:30;125.26;0.0
2026-03-10;QH 19;04:30 - 04:45;126.81;0.0
2026-03-10;QH 20;04:45 - 05:00;129.98;0.0
2026-03-10;QH 21;05:00 - 05:15;122.94;0.0
2026-03-10;QH 22;05:15 - 05:30;125.34;0.0
2026-03-10;QH 23;05:30 - 05:45;130.62;0.0
2026-03-10;QH 24;05:45 - 06:00;135.03;0.0
2026-03-10;QH 25;06:00 - 06:15;126.27;0.0
2026-03-10;QH 26;06:15 - 06:30;133.59;0.0
2026-03-10;QH 27;06:30 - 06:45;142.94;0.0
2026-03-10;QH 28;06:45 - 07:00;160.04;0.0
2026-03-10;QH 29;07:00 - 07:15;140.01;0.0
2026-03-10;QH 30;07:15 - 07:30;166.09;0.0
2026-03-10;QH 31;07:30 - 07:45;174.62;0.0
2026-03-10;QH 32;07:45 - 08:00;191.69;0.0
2026-03-10;QH 33;08:00 - 08:15;193.99;0.0
2026-03-10;QH 34;08:15 - 08:30;199.92;0.0
2026-03-10;QH 35;08:30 - 08:45;174.03;0.0
2026-03-10;QH 36;08:45 - 09:00;152.74;0.0
2026-03-10;QH 37;09:00 - 09:15;227.58;0.0
2026-03-10;QH 38;09:15 - 09:30;176.38;0.0
2026-03-10;QH 39;09:30 - 09:45;154.99;0.0
2026-03-10;QH 40;09:45 - 10:00;134.33;0.0
2026-03-10;QH 41;10:00 - 10:15;176.52;0.0
2026-03-10;QH 42;10:15 - 10:30;141.8;0.0
2026-03-10;QH 43;10:30 - 10:45;128.18;0.0
2026-03-10;QH 44;10:45 - 11:00;115.65;0.0
2026-03-10;QH 45;11:00 - 11:15;145.14;0.0
2026-03-10;QH 46;11:15 - 11:30;112.23;0.0
2026-03-10;QH 47;11:30 - 11:45;112.01;0.0
2026-03-10;QH 48;11:45 - 12:00;103.62;0.0
2026-03-10;QH 49;12:00 - 12:15;117.37;0.0
2026-03-10;QH 50;12:15 - 12:30;106.73;0.0
2026-03-10;QH 51;12:30 - 12:45;98.7;0.0
2026-03-10;QH 52;12:45 - 13:00;92.37;0.0
2026-03-10;QH 53;13:00 - 13:15;96.54;0.0
2026-03-10;QH 54;13:15 - 13:30;90.57;0.0
2026-03-10;QH 55;13:30 - 13:45;87.66;0.0
2026-03-10;QH 56;13:45 - 14:00;90.99;0.0
2026-03-10;QH 57;14:00 - 14:15;93.88;0.0
2026-03-10;QH 58;14:15 - 14:30;94.51;0.0
2026-03-10;QH 59;14:30 - 14:45;98.63;0.0
2026-03-10;QH 60;14:45 - 15:00;101.13;0.0
2026-03-10;QH 61;15:00 - 15:15;101.99;0.0
2026-03-10;QH 62;15:15 - 15:30;104.11;0.0
2026-03-10;QH 63;15:30 - 15:45;103.92;0.0
2026-03-10;QH 64;15:45 - 16:00;118.64;0.0
2026-03-10;QH 65;16:00 - 16:15;109.75;0.0
2026-03-10;QH 66;16:15 - 16:30;109.27;0.0
2026-03-10;QH 67;16:30 - 16:45;116.27;0.0
2026-03-10;QH 68;16:45 - 17:00;150.68;0.0
2026-03-10;QH 69;17:00 - 17:15;107.36;0.0
2026-03-10;QH 70;17:15 - 17:30;136.35;0.0
2026-03-10;QH 71;17:30 - 17:45;154.15;0.0
2026-03-10;QH 72;17:45 - 18:00;179.71;0.0
2026-03-10;QH 73;18:00 - 18:15;132.15;0.0
2026-03-10;QH 74;18:15 - 18:30;158.79;0.0
2026-03-10;QH 75;18:30 - 18:45;189.5;0.0
2026-03-10;QH 76;18:45 - 19:00;235.57;0.0
2026-03-10;QH 77;19:00 - 19:15;201.56;0.0
2026-03-10;QH 78;19:15 - 19:30;224.35;0.0
2026-03-10;QH 79;19:30 - 19:45;229.88;0.0
2026-03-10;QH 80;19:45 - 20:00;217.12;0.0
2026-03-10;QH 81;20:00 - 20:15;237.15;0.0
2026-03-10;QH 82;20:15 - 20:30;205.31;0.0
2026-03-10;QH 83;20:30 - 20:45;195.06;0.0
2026-03-10;QH 84;20:45 - 21:00;167.0;0.0
2026-03-10;QH 85;21:00 - 21:15;175.58;0.0
2026-03-10;QH 86;21:15 - 21:30;161.86;0.0
2026-03-10;QH 87;21:30 - 21:45;149.87;0.0
2026-03-10;QH 88;21:45 - 22:00;150.88;0.0
2026-03-10;QH 89;22:00 - 22:15;154.35;0.0
2026-03-10;QH 90;22:15 - 22:30;149.55;0.0
2026-03-10;QH 91;22:30 - 22:45;138.39;0.0
2026-03-10;QH 92;22:45 - 23:00;117.58;0.0
2026-03-10;QH 93;23:00 - 23:15;139.81;0.0
2026-03-10;QH 94;23:15 - 23:30;129.32;0.0
